scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
c1ncncn1,1,1,100.0
C1C[C@H]2C[C@@H]3CCC[C@]3(C1)C2,1,1,100.0
C=C1CC2CCC1C2,1,1,100.0
C1=C2CCCCC2C2CCc3ccccc3C2=C1,1,1,100.0
C1=Cc2ccccc2Nc2ccccc21,1,1,100.0
O=C(c1ccccc1)c1ccccc1,1,1,100.0
[N+]=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,1,1,100.0
c1ccc(Oc2ccccc2)cc1,1,1,100.0
C1CCCCCCCCCCC1,1,1,100.0
c1ccc(Sc2ccccc2)cc1,1,1,100.0
O=C1CN=C(c2ccccc2)c2ccccc2N1,1,1,100.0
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,1,100.0
O=C(N=Cc1ccccc1)Nc1ccccc1,1,1,100.0
c1ccccc1,48,14,29.2
,67,11,16.4
C1CCCCC1,4,0,0.0
C1CCC2CC3CCCCC3CC2C1,1,0,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,1,0,0.0
c1ccc2c(c1)Oc1ccccc1O2,4,0,0.0
c1ccncc1,2,0,0.0
c1ccc2c(c1)-c1cccc3c1C2CCC3,1,0,0.0
c1ccc(-c2ccccc2)cc1,8,0,0.0
c1ccc2ccccc2c1,3,0,0.0
c1ccccc1.c1ccccc1,1,0,0.0
C1CCCC1,2,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,0,0.0
c1ccc2c(c1)CCCC2,1,0,0.0
c1cc2c(c3c1CCCC3)CCCC2,1,0,0.0
C1CCC2CCCCC2C1,1,0,0.0
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,0,0.0
N=c1nc[nH]c(=N)[nH]1,1,0,0.0
c1ccc2c(c1)sc1ccccc12,1,0,0.0
c1ccc2c(c1)ccc1ccccc12,4,0,0.0
c1ccc(Cc2ccccc2)cc1,2,0,0.0
c1ccc2c(c1)CCC2,1,0,0.0
C1CCC2C(C1)CCC1C3CCCCC3CCC21,1,0,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,2,0,0.0
C1CCC2CCCC2C1,1,0,0.0
c1ccc2cc3ccccc3cc2c1,1,0,0.0
