scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
N=c1nc[nH]c(=N)[nH]1,1,1,100.0
c1ncncn1,1,1,100.0
c1ccc(Oc2ccccc2)cc1,1,1,100.0
O=c1ccn2c3c(cccc13)CCC2,1,1,100.0
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,3,3,100.0
O=C1c2ccccc2C(=O)c2ccccc21,1,1,100.0
O=c1ocnn1-c1ccccc1,1,1,100.0
c1ccc(OCn2cncn2)cc1,1,1,100.0
c1ccc(N=Nc2ccccc2)cc1,1,1,100.0
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,1,100.0
c1ccsc1,1,1,100.0
c1ccccc1,27,14,51.9
,28,11,39.3
c1ccc2c(c1)Oc1ccccc1O2,3,1,33.3
c1ccc(-c2ccccc2)cc1,8,1,12.5
C1=CC2CC1C1C3C=CC(C3)C21,1,0,0.0
C1CCCCC1,1,0,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,1,0,0.0
C1=CCCC1,1,0,0.0
c1ccc2ccccc2c1,4,0,0.0
O=c1ccs[nH]1,1,0,0.0
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,1,0,0.0
O=C(c1ccccc1)c1ccccc1,1,0,0.0
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,0,0.0
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,0,0.0
c1ccc(Cc2ccccc2)cc1,2,0,0.0
C=C(c1ccccc1)c1ccccc1,2,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
